time,station,landuse,altitude,latitude,longitude,air_rh_avg,air_t_avg
,,,,,,%,deg c
2020-03-20 10:15:00,m2,pa,2180,46.71110568,10.69164718,35.71,3.349
2020-03-20 10:30:00,m2,pa,2180,46.71110568,10.69164718,36.36,2.889
2020-03-20 10:45:00,m2,pa,2180,46.71110568,10.69164718,39.74,2.521
2020-03-20 11:00:00,m2,pa,2180,46.71110568,10.69164718,38.4,2.623
2020-03-20 11:15:00,m2,pa,2180,46.71110568,10.69164718,42.01,2.816
2020-03-20 11:30:00,m2,pa,2180,46.71110568,10.69164718,48.15,2.241
2020-03-20 11:45:00,m2,pa,2180,46.71110568,10.69164718,43.23,3.303
2020-03-20 12:00:00,m2,pa,2180,46.71110568,10.69164718,43.03,3.736
2020-03-20 12:15:00,m2,pa,2180,46.71110568,10.69164718,43.62,3.396
2020-03-20 12:30:00,m2,pa,2180,46.71110568,10.69164718,39.58,4.166
2020-03-20 12:45:00,m2,pa,2180,46.71110568,10.69164718,41.1,4.382
2020-03-20 13:00:00,m2,pa,2180,46.71110568,10.69164718,38.46,4.531
2020-03-20 13:15:00,m2,pa,2180,46.71110568,10.69164718,36.96,4.616
2020-03-20 13:30:00,m2,pa,2180,46.71110568,10.69164718,33.64,5.086
2020-03-20 13:45:00,m2,pa,2180,46.71110568,10.69164718,37.6,4.959
2020-03-20 14:00:00,m2,pa,2180,46.71110568,10.69164718,41.5,4.97
2020-03-20 14:15:00,m2,pa,2180,46.71110568,10.69164718,43.69,4.913
2020-03-20 14:30:00,m2,pa,2180,46.71110568,10.69164718,56.24,3.4
2020-03-20 14:45:00,m2,pa,2180,46.71110568,10.69164718,56.82,3.751
2020-03-20 15:00:00,m2,pa,2180,46.71110568,10.69164718,52.7,4.128
2020-03-20 15:15:00,m2,pa,2180,46.71110568,10.69164718,53.8,4.059
2020-03-20 15:30:00,m2,pa,2180,46.71110568,10.69164718,55.32,3.964
2020-03-20 15:45:00,m2,pa,2180,46.71110568,10.69164718,57.19,3.84
2020-03-20 16:00:00,m2,pa,2180,46.71110568,10.69164718,58.94,3.656
2020-03-20 16:15:00,m2,pa,2180,46.71110568,10.69164718,56.48,4.054
2020-03-20 16:30:00,m2,pa,2180,46.71110568,10.69164718,61.1,3.289
2020-03-20 16:45:00,m2,pa,2180,46.71110568,10.69164718,61.72,2.991
2020-03-20 17:00:00,m2,pa,2180,46.71110568,10.69164718,57.6,3.324
2020-03-20 17:15:00,m2,pa,2180,46.71110568,10.69164718,58.81,3.241
2020-03-20 17:30:00,m2,pa,2180,46.71110568,10.69164718,59.52,3.105
2020-03-20 17:45:00,m2,pa,2180,46.71110568,10.69164718,60.76,2.919
2020-03-20 18:00:00,m2,pa,2180,46.71110568,10.69164718,64.73,2.459
2020-03-20 18:15:00,m2,pa,2180,46.71110568,10.69164718,63.18,2.339
2020-03-20 18:30:00,m2,pa,2180,46.71110568,10.69164718,64.24,2.165
2020-03-20 18:45:00,m2,pa,2180,46.71110568,10.69164718,68.36,1.656
2020-03-20 19:00:00,m2,pa,2180,46.71110568,10.69164718,66.78,1.627
2020-03-20 19:15:00,m2,pa,2180,46.71110568,10.69164718,76.61,0.878
2020-03-20 19:30:00,m2,pa,2180,46.71110568,10.69164718,87,-0.146
2020-03-20 19:45:00,m2,pa,2180,46.71110568,10.69164718,96.2,-1.174
2020-03-20 20:00:00,m2,pa,2180,46.71110568,10.69164718,97.2,-1.271
2020-03-20 20:15:00,m2,pa,2180,46.71110568,10.69164718,98,-1.312
2020-03-20 20:30:00,m2,pa,2180,46.71110568,10.69164718,98,-1.348
2020-03-20 20:45:00,m2,pa,2180,46.71110568,10.69164718,97.9,-1.241
2020-03-20 21:00:00,m2,pa,2180,46.71110568,10.69164718,98.3,-1.42
2020-03-20 21:15:00,m2,pa,2180,46.71110568,10.69164718,98.5,-1.655
2020-03-20 21:30:00,m2,pa,2180,46.71110568,10.69164718,98.5,-1.677
